"word","mean","ipa","exampleSentence","translatedSentence","type"
"elsewhere","どこかよそに,ほかの所で(somewhere else)","/ˈɛls.wɛər/","I want to go elsewhere for my vacation.","私は休暇にどこか他の場所に行きたいです。","NGSL"
"employer","雇い主,雇用者","/ɪmˈplɔɪər/","My employer is very supportive and understanding.","私の雇い主はとてもサポートしてくれるし、理解もあります。","NGSL"
"entirely","全く / 完全に / 全部で","/ɪnˈtaɪərli/","She was entirely focused on her work.","彼女は完全に仕事に集中していました。","NGSL"
"equally","平等に,同等に;均一に,均等に  / 《文を修飾して》同時に","/ˈiːkwəli/","All employees are treated equally regardless of their position.","全ての従業員は、彼らの立場に関係なく平等に扱われます。","NGSL"
"specialist","専門家  / 専門医","/'spɛʃəlɪst/","I consulted a specialist about my health issues.","私は健康問題について専門家に相談しました。","NGSL"
"speech","〈U〉話す力,話す能力・〈U〉話すこと,言葉・〈C〉演説,話,スピーチ・〈U〉(人の)話し方・〈C〉〈U〉(特定の)言語,方言,なまり・〈C〉(役者の)のせりふ・〈U〉話法","/spiːtʃ/","The Prime Minister gave a powerful speech.","首相は力強い演説を行ないました。","NGSL"
"stair","〈C〉(階段の一つの)段  / 《複数形で》階段","/stɛr/","I tripped and fell down the stair.","私はつまずいて階段から転げ落ちた。","NGSL"
"February","2月(《略》Feb.)","/ˈfɛb.ruˌɛr.i/","The month of February is the second month of the year.","2月は1年の第2の月です。","NGSL"
"stimulate","を刺激する / を励ます,を元気づける","/'stɪmjəˌleɪt/","Listening to music can stimulate creativity.","音楽を聴くことは創造性を刺激することができます。","NGSL"
"strategy","〈U〉兵法,用兵学  / 〈C〉戦略,戦術  / 〈C〉(商売や政治上の)巧みな戦略;(ある目的に達するための)計画,方法","/ˈstrætədʒi/","Having a clear strategy is essential for success.","成功するためには明確な戦略が不可欠です。","NGSL"
"strongly","強く,激しく  / 熱心に","/ˈstrɔŋ.li/","She strongly believes in the power of education.","彼女は教育の力を強く信じています。","NGSL"
"structural","構造の / 構成の / 組織の / 建築の","/ˈstrʌktʃərəl/","The structural integrity of the building was compromised after the earthquake.","地震後、建物の構造的な完全性が損なわれました。","NGSL"
"student","学生,生徒  / (…の)研究者,学者《+of+名》","/'stu:dənt/","The student studies English every day.","毎日英語を勉強する学生です。","NGSL"
"when","いつ / (…する,…した)ところの / するとその時に /","/wɛn/","When I wake up, I always drink a cup of coffee.","私が目を覚ますと、いつもコーヒーを一杯飲みます。","NGSL"
"tale","(事実・伝説・架空の)話,物語  / 作り話,うそ  / 《複数形で》告げ口,中傷","/teɪl/","She told him a tale about a magical kingdom.","彼女は彼に魔法の王国についての話をした。","NGSL"
"gene","遺伝子","/dʒiːn/","The descendent gene was passed down from generation to generation.","子孫の遺伝子は世代から世代へと受け継がれました。","NGSL"
"taxi","タクシー(taxicabの略)","/ˈtæksi/","I took a taxi to the airport.","私は空港へタクシーで行きました。","NGSL"
"therapy","療法","/ˈθɛrəpi/","She is undergoing therapy to help manage her anxiety.","彼女は不安を管理するために療法を受けています。","NGSL"
"theater","〈C〉劇場, 映画館 / 《the》劇, 演劇 / (事件・活動の)現場,舞台","/ˈθiːtər/","I love going to the theater to watch plays.","私は劇場に行って演劇を観るのが大好きです。","NGSL"
"thus","このように, かくかくして / したがって, だから","/ðʌs/","She studied hard and thus passed the exam.","彼女は一生懸命勉強したので、結果的に試験に合格した。","NGSL"
"tourist","[観光]旅行者,観光客  / 観光旅行[用]の","/'tʊərɪst/","The tourist took a lot of photos during their trip.","旅行者は旅行中にたくさんの写真を撮りました。","NGSL"
"toy","おもちゃ,玩具  / 小さくてちゃちな物  / 《名詞の前にのみ用いて》  / おもちゃの,愛玩用の  /","/tɔɪ/","My daughter loves to play with her new toy.","娘は新しいおもちゃで遊ぶのが大好きです。","NGSL"
"historian","〈C〉歴史家, 歴史学者","/hɪˈstɔːriən/","The historian conducted extensive research on ancient civilizations.","その歴史家は古代文明について広範な研究を行った。","NGSL"
"host","〈C〉《...の》大群,大勢《of》","/həʊst/","The host welcomed the guests to the party.","ホストはゲストをパーティーに歓迎しました。","NGSL"
"university","〈C〉[総合]大学  / 〈U〉《the university》《集合的に》大学生,大学当局","/juːnɪˈvɜːrsəti/","I am studying at a university.","私は大学で勉強しています。","NGSL"
"web","〈C〉(インターネットの)ウェブ /  (クモの) 巣 /  (クモの巣のような)網状組織 / (アヒルなどの)水かき","/wɛb/","I found a great website for learning web development.","私はウェブ開発を学ぶための素晴らしいウェブサイトを見つけました。","NGSL"
"investor","投資者","/ɪnˈvɛstər/","The investor made a significant profit from their investments.","投資家は投資から大きな利益を得ました。","NGSL"
"weekend","週末(通例金曜日の夕方から日曜日の夜まで);週末休暇  / 週末の  / 《状態・場所を表す副詞[句]を伴って》週末を過ごす;週末旅行をする","/wiːkˈɛnd/","I'm looking forward to the weekend.","週末が楽しみです。","NGSL"
"weird","変な,妙な / 起自然的な,不思議な,気味の悪い","/wɪrd/","There was something weird about the incident.","その事件には何となく気味の悪いところがあった。","NGSL"
"January","1月(《略》Ja.,Jan.)","/dʒæn(j)uːˈɛɹi/","I'm looking forward to the warm days of January.","1月の暖かい日を楽しみにしています。","NGSL"
"wife","妻,女房,奥さん,夫人  / 《古》(特に結婚した)女","/waɪf/","My wife is a great cook.","私の妻は素晴らしい料理人です。","NGSL"
"July","7月(《略》Jul.,Jy.)","/dʒuˈlaɪ/","This July marks the fifth anniversary of our company.","今年の7月で当社が5周年を迎える。","NGSL"
"June","6月(《略》Je.,Jun.)","/dʒun/","The summer heat will start in June.","夏の暑さは６月から始まる。","NGSL"
"laboratory","実験室,研究室(所),試験室(所);(薬品などの)製造所","/ləˈbɒrəˌtɔːri/","I spent the whole day working in the laboratory.","私は一日中実験室で働いていました。","NGSL"
"lawyer","〈C〉弁護士 / 法律学者","/ˈlɔɪər/","He hired a lawyer to help with his legal case.","彼は法的な問題を手伝ってもらうために弁護士を雇った。","NGSL"
"forty","〈C〉(数の)40;40の記号(40,XLなど)  / 〈U〉40分;40歳  / 〈U〉《複数扱い》40人,40個  / 《the forties》(世紀の)40年代;《one's forties》(年齢の)40代  / 40の,40人の,40個の  / 《補語にのみ用いて》40歳の(で)","/'fɔːrti/","I have forty apples.","私はりんごを40個持っています。","NGSL"
"member","(集団の)一員,会員,メンバー《+of+名》  / 《またM-》国会議員  / (数式の)項,辺  / 《文》身体の一部;(特に)手,足  / 《遠回しに》男根","/'mɛmbər/","She is a valuable member of our team.","彼女は私たちのチームの貴重な一員です。","NGSL"
"officer","公務員,役人(会社などの)役員,幹部  / 将校,士官  / (商船の)高級船員;船長(master)  / 警官,巡査(policeman)","/ˈɒfɪsər/","The police officer arrested the suspect.","警察官は容疑者を逮捕した。","NGSL"
"oil","〈U〉〈C〉油;油状物  / =petroleum  / 《複数形で》=oil paint  / =oil painting  / …‘に'油を塗る,油を引く,油を差す","/ɔɪl/","I need to change the oil in my car.","私は車のオイルを交換する必要があります。","NGSL"
"outside","外側に,外へ(に,で)  / …を外に(で,の)","/ˌaʊtˈsaɪd/","It is raining outside.","外は雨が降っています。","NGSL"
"constantly","絶えず , しきりに / (規則的に)しばしば,たびたび","/'kɒnstəntli/","He is constantly checking his phone.","彼は常に携帯電話をチェックしています。","NGSL"
"player","競技者,選手  / 俳優,役者(actor)  / 演奏者  / 演奏装置,レコードプレーヤー","/ˈpleɪər/","The football team has an excellent player.","サッカーチームには優秀な選手がいます。","NGSL"
"reader","読者 / 読書家  / (学校用の)読本,リーダー  / (特に英国の大学の)講師","/ˈriːdər/","The reader should be aware of the consequences before making a decision.","読者は決断する前にその結果について意識しておくべきである。","NGSL"
"same","《the ~》同じ, 《...と》同一の《as節, that節, wh-節》","/seɪm/","We have the same car.","私たちは同じ車を持っています。","NGSL"
"silly","(人・人の行動が) 愚かな, 思慮のない,ばかなの / 《話》(殴られたりして)目を回した,気絶した / 【名】 おばかさん","/'sɪli/","He made a silly mistake.","彼は愚かな間違いをした。","NGSL"
"get","〈他〉を受け取る / を手に入れる / を取ってくる / 〈人〉にさせる / をする / 〈自〉(ある場所に) 着く / (ある状態に)なる","/ɡɛt/","Can you get me a glass of water?","お水を１杯取ってきてくれますか？","NGSL"
"hook","〈C〉掛けくぎ, 留め金","/hʊk/","I used a hook to hang my coat on the wall.","私はフックを使ってコートを壁に掛けました。","NGSL"
"system","〈C〉(関連した部分から成る)体系,系統,組織[網],装置  / 〈C〉(教育・政治などの)制度,機構;《the~》体制  / 〈C〉(思想・学問などの)体系,学説  / 〈C〉(…の)方法,方式,やり方《+of doing》  / 〈U〉正しい方針(筋道,順序)  / 〈U〉《the~》(身体の)組織,系統  / 〈U〉《the~,one's~》身体,全身","/ˈsɪstəm/","The solar system consists of the sun, planets, and other celestial bodies.","太陽系は太陽、惑星、その他の天体から成り立っています。","NGSL"
